catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HIP 66234,*  24 CVn,203.61358305917585,49.015971971378896,-127.914,27.811,17.5952,0.1102,PM*,A4V,-18.3,2.0,4.7,
HIP 64906,*  21 CVn,199.56045638016,49.68206366796001,-35.161,16.342,11.6984,0.0898,a2*,B9IV(Si),-2.9,2.0,5.15,
HIP 93174,* eps CrA,284.68076131022,-37.10732798126,-131.234,-98.23,31.8084,0.1122,SB*,F4VFe-0.8+,57.9,1.2,4.85,
HIP 6512,HD   8375,20.906130233190005,34.24586521282,244.724,123.359,18.0574,0.1163,SB*,G8IV,13.0241,0.015275,6.28,
HIP 72848,V* DE Boo,223.34902280422665,19.152797977366944,-441.366,216.645,85.9932,0.5516,RS*,K0.5V,-31.42,0.04,6.0,
HIP 117712,HD 223778,358.1058713611308,75.54454302957555,309.9,25.334,91.7722,0.0425,SB*,K3V,4.54,0.37,6.38,
HIP 9007,* chi Eri,28.98941569355876,-51.60887759053111,680.11,294.318,56.8508,0.1628,PM*,G8IIIbCNIV,-6.3,0.7,3.71,
HIP 12832,*  38 Ari,41.23992263824,12.44575607307,122.203,-86.328,25.2522,0.1396,dS*,A7III,-1.5,2.0,5.17,
HIP 86201,* ome Dra,264.23789294864787,68.75796709276833,1.69,321.452,42.0939,0.1425,SB*,F4V,-13.98,0.02,4.77,
HIP 1444,HD   1388,4.495285823280834,-13.455640866259165,401.642,-0.238,37.1417,0.0255,PM*,G0V,28.778,0.0003,6.5,
HIP 42075,HD  72954,128.63315041839,-32.59876491671,-27.287,-137.519,14.6925,0.4057,**,G5V,10.65,0.4,6.42,
HIP 56550,HD 100826,173.92640152679,-61.28787148474,-6.397,0.836,0.4561,0.045,s*b,B9.5Iab/b,-21.37,0.41,6.24,
HIP 82944,HD 152010,254.25436873455996,-71.11164478731,-8.941,-36.107,3.2415,0.0204,*,A5IV/V,-14.34,0.18,6.48,
HIP 104371A,HD 201433A,317.1620405807,30.205635529180004,24.645,-20.647,8.1988,0.1038,SB*,B9VspSi,,,5.71,
HIP 29711,HD  43319,93.87363790485,-4.914717967779999,22.895,-34.048,13.7806,0.0379,*,A3Vas,29.77,0.28,6.0,
HIP 46225,HD  81830,141.36347590354,-61.95047812001,-115.85,55.211,13.3963,0.033,PM*,A4V,6.65,0.49,5.77,
HIP 10723,HD  14214,34.506013818715424,1.7578120801391666,366.09,369.815,44.5963,0.347,SB*,G1V,25.72,0.01,5.59,
HIP 29860,HD  43587,94.31720709652,5.099973540430001,-211.532,166.651,51.6165,0.1235,SB*,G0V,8.67,0.2,5.7,
HIP 34608,HD  54563,107.52782635023084,21.24698391150861,-174.249,-473.248,22.8738,0.3745,SB*,G8V,-3.56,0.02,6.42,
HIP 46893,HD  82674,143.33294871884,-7.19020208379,-60.166,-23.576,8.4186,0.255,SB*,K2III,22.82,0.88,6.25,
HIP 52032,*  36 LMi,159.46777526159,34.078630696990004,-18.737,4.314,1.914,0.0681,SB*,K0,11.0,0.3,6.4,
HIP 76603,HD 139461,234.6669187509173,-8.7914461100209,46.496,-40.828,28.2972,0.3324,SB*,F6.5V,-1.26,0.1,6.38,
HIP 87895,HD 163840,269.3097465700759,23.9957355536486,-28.364,108.044,30.8036,0.4494,SB*,G2V+K2V,-32.83,0.07,6.33,
HIP 93966,HD 178428,286.9888344769325,16.85338189003028,65.286,-303.234,47.3289,0.0894,SB*,G4.5V,14.36,0.08,6.07,
HIP 109647,HD 210763,333.18278516602,-4.720678142890001,-45.352,-34.702,10.621,0.029,SB*,F5V,2.0,5.0,6.4,
HIP 31024,HD  46064,97.64535871765,-13.14817366991,-3.289,1.153,2.1584,0.0583,*,B2III,2.3,2.0,6.14,
HIP 89925,* 108 Her,275.2373759792,29.858923172179992,1.341,53.261,17.9191,0.0489,SB*,kA3mA7+A9V,-24.18,0.03,5.6,
HIP 50786,HD  89744,155.54400785599,41.22953047179,-120.285,-138.171,25.9334,0.0436,PM*,F7V,-5.3,0.18,5.72,
HIP 54745,HD  97334,168.13479293315,35.81408027173,-249.194,-151.406,44.0583,0.0232,BY*,G2,-3.719,0.0015,6.41,
HIP 1501,*  26 And,4.67570368283,43.79114116892999,23.328,-2.755,5.3927,0.0421,*,B8V,7.0,2.0,6.11,
HIP 21029,HD  28527,67.64013589133,16.194013804560004,104.889,-25.446,22.1875,0.143,dS*,A6IV,32.8012,0.043,4.764,
