catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD  89758,* mu. UMa,155.5821986521946,41.49953826257556,-73.749,28.259,17.7987,0.3933,SB*,M0III,-21.3,1.66,3.05,NAME Tania Australis
HD  87901,* alf Leo,152.09296243828146,11.967208776100025,-248.73,5.59,41.13,0.35,PM*,B8IVn,0.719522,0.614515,1.4,NAME Regulus
HD  13161,* bet Tri,32.38594634196055,34.98729706469149,149.16,-39.1,25.71,0.34,SB*,A5III,12.3,0.66,3.0,
HD   6860,* bet And,17.43301617293042,35.62055765052624,175.9,-112.2,16.52,0.56,PM*,M0+IIIa,0.608782,0.001576,2.05,NAME Mirach
HD    358,* alf And,2.0969161856756404,29.090431118059698,137.46,-163.44,33.62,0.35,a2*,B8IV-VHgMn,-10.1,0.2,2.06,NAME Alpheratz
HD    358,* alf And,2.0969161856756404,29.090431118059698,137.46,-163.44,33.62,0.35,a2*,B8IV-VHgMn,-10.1,0.2,2.06,NAME Sirrah
HD    886,* gam Peg,3.3089681209050004,15.18359842959389,0.492,-10.73,6.9474,0.4293,bC*,B2IV,-0.66,0.14,2.84,NAME Algenib
HD   6805,* eta Cet,17.14746388517208,-10.18226442669,215.922,-139.029,27.0603,0.1799,HB*,K2-IIIb,11.1,1.46,3.45,
HD   4128,* bet Cet,10.8973787360039,-17.98660631592891,232.55,31.99,33.86,0.16,PM*,G9.5IIICH-1,13.257,0.0002,2.01,NAME Diphda
HD  76294,* zet Hya,133.84844248935084,5.945565210399724,-101.037,14.261,21.3133,0.2316,PM*,G8.5III,22.3,0.3,3.1,
HD  63700,* ksi Pup,117.32355646601664,-24.859783879637224,-3.61,-2.579,3.0059,0.1317,*,G6Ib,2.8,0.3,3.3,NAME Asmidiske
HD  63700,* ksi Pup,117.32355646601664,-24.859783879637224,-3.61,-2.579,3.0059,0.1317,*,G6Ib,2.8,0.3,3.3,NAME Azmidiske
HD  58350,* eta CMa,111.02375950100142,-29.303105508471724,-4.14,5.81,1.64,0.4,s*b,B5Ia,41.1,2.0,2.45,NAME Aludra
HD  53138,* omi02 CMa,105.75613058900544,-23.833293974200288,-1.335,3.803,0.8715,0.3319,s*b,B3Ia,48.08,0.07,3.02,
HD  52089,* eps CMa,104.65645315148348,-28.97208615736081,3.24,1.33,8.05,0.14,*,B1.5II,27.3,0.4,1.5,NAME Adhara
HD  52877,* sig CMa,105.42978350186792,-27.934830340443888,-5.714,4.89,2.5085,0.159,s*r,K5Ib,22.11,0.19,3.47,
HD  44478,* mu. Gem,95.74011192619564,22.51358274590428,56.39,-110.03,14.08,0.71,LP*,M3IIIab,54.38,0.24,2.87,NAME Tejat
HD  42995,* eta Gem,93.71935536055372,22.506787327170837,-59.53,-7.766,4.7312,1.0207,RG*,M2IIIa,22.39,0.36,3.28,NAME Propus
