catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD  89025,* zet Leo,154.17256318434792,23.417316988991107,21.161,-8.263,14.0377,0.2883,*,F0IIIa,-12.32,6.23,3.41,NAME Adhafera
HD  76644,* iot UMa,134.8018900723819,48.04182614451662,-441.29,-215.32,68.92,0.16,**,A6,9.0,2.0,3.14,NAME Talitha
HD 106625,* gam Crv,183.9515450373768,-17.541930457603193,-158.61,21.86,21.23,0.2,PM*,B8III,-4.2,2.0,2.58,NAME Gienah
HD 116658,* alf Vir,201.2982473615632,-11.161319485111932,-42.35,-30.67,13.06,0.7,bC*,B1V,-3.31,0.78,0.97,NAME Spica
HD  78647,* lam Vel,136.99899113791412,-43.432590908860746,-24.01,13.52,5.99,0.11,s*r,K4Ib,17.6,0.3,2.21,NAME Suhail
HD  80493,* alf Lyn,140.26375087702914,34.39255928934889,-218.723,16.555,14.7042,0.1808,PM*,K6III,38.47,0.2,3.14,
HD  95418,* bet UMa,165.46033229797294,56.382433649496384,79.959,32.365,38.6031,1.1285,PM*,A1IVps,-13.1,0.1,2.37,NAME Merak
HD 112185,* eps UMa,193.5072899675,55.95982295694445,111.91,-8.24,39.51,0.2,a2*,A1III-IVpkB9,-12.7,0.2,1.77,NAME Alioth
HD  80007,* bet Car,138.29990608310192,-69.71720759721548,-156.47,108.95,28.82,0.11,PM*,A1III-,-5.1,2.3,1.69,NAME Miaplacidus
HD 105435,* del Cen,182.08957348875,-50.722427392777774,-42.613,-11.135,5.7179,0.6516,Be*,B2Vne,11.0,4.0,2.52,
HD 123139,* tet Cen,211.670614682339,-36.369954742511496,-520.53,-518.06,55.45,0.2,PM*,K0-IIIb,1.3,0.5,2.05,NAME Menkent
HD 108767,* del Crv,187.46606318416664,-16.515431261666667,-209.276,-139.184,38.06,0.3996,PM*,A0IV(n)kB9,13.9,2.3,2.94,NAME Algorab
HD 115659,* gam Hya,199.73040703832623,-23.171514006915,67.956,-44.299,25.5286,0.2706,SB*,G8IIIa,-4.861,0.0002,3.0,
HD 120324,* mu. Cen,207.40411953020495,-42.47373340873611,-23.04,-18.361,7.3269,0.516,Be*,B2Vnpe,9.2,2.7,3.43,
HD  93813,* nu. Hya,162.4062010556029,-16.193647060365556,92.912,199.642,23.794,0.1695,PM*,K1.5IIIHdel-0.5,-1.37,0.25,3.11,
HD  93030,* tet Car,160.73917486416664,-64.39445022111111,-18.36,12.03,7.16,0.21,SB*,B0Vp,459.7,0.12,2.76,
HD 118716,* eps Cen,204.9719072309024,-53.466391146089,-15.3,-11.72,7.63,0.48,bC*,B1III,3.0,2.0,2.3,
HD 110304,* gam Cen,190.37933367081536,-48.959871515023295,-185.72,5.79,25.06,0.28,**,A1IV+A0IV,-5.5,1.78,2.17,
HD 120315,* eta UMa,206.88515734206297,49.31326672942533,-121.17,-14.91,31.38,0.24,PM*,B3V,-13.4,0.6,1.86,NAME Alkaid
HD 120315,* eta UMa,206.88515734206297,49.31326672942533,-121.17,-14.91,31.38,0.24,PM*,B3V,-13.4,0.6,1.86,NAME Alcaid
HD 121263,* zet Cen,208.884940198572,-47.28837451101241,-57.37,-44.55,8.54,0.13,SB*,B2.5IV,6.5,2.0,2.55,
HD 128621,* alf Cen B,219.8960962898728,-60.83752756558407,-3614.39,802.98,742.12,1.4,PM*,K1V,-22.586,0.0001,1.33,NAME Toliman
HD 130841,* alf02 Lib,222.7196378915803,-16.041776519834446,-105.68,-68.4,43.03,0.19,SB*,kA2hA5mA4IV-V,-10.0,5.0,2.75,NAME Zubenelgenubi
HD  95689,* alf UMa,165.9319646738126,61.75103468781823,-134.11,-34.7,26.54,0.48,**,G9III+A7.5,-9.4,0.3,1.79,NAME Dubhe
HD  96833,* psi UMa,167.41586789931586,44.49848775473417,-62.62,-27.778,23.2272,0.2513,PM*,K1III,-3.39,0.14,3.01,
HD 132058,* bet Lup,224.6330223498344,-43.13396384896446,-35.78,-39.83,8.52,0.18,**,B2IV,0.2,0.9,2.68,
HD 143118,* eta Lup,240.03053298351492,-38.39670506249139,-17.593,-27.256,7.5942,0.4322,bC?,B2.5IV,1.0,3.8,3.41,
HD 115892,* iot Cen,200.1492200650396,-36.712304581225,-339.615,-82.181,56.0571,1.1147,PM*,kA1.5hA3mA3Va,0.1,0.6,2.73,
HD 161797,* mu.01 Her,266.61478040032705,27.720711383034715,-312.087,-773.179,119.9248,0.1543,**,G5IV,-17.78,0.03,3.42,
HD 161797A,* mu.01 Her,266.61478040032705,27.720711383034715,-312.087,-773.179,119.9248,0.1543,**,G5IV,-17.78,0.03,3.42,
HD 147165,* sig Sco,245.29714880583333,-25.592792076666665,-10.6,-16.28,4.68,0.6,bC*,B1III+B1:V,-0.4,0.9,2.89,NAME Alniyat
HD 149757,* zet Oph,249.2897502448742,-10.56708603964,10.465,24.742,7.4088,0.6596,Be*,O9.2IVnn,-9.0,5.5,2.56,
HD 155763,* zet Dra,257.1966155398917,65.71464532697362,-16.55,32.757,7.8274,0.5476,**,B8III,-19.2,0.2,3.17,NAME Aldhibah
HD 128620,* alf Cen A,219.9020583317077,-60.83399268831004,-3679.25,473.67,742.12,1.4,PM*,G2V,-15.252,0.167,0.01,NAME Rigel Kentaurus
HD 128620,* alf Cen A,219.9020583317077,-60.83399268831004,-3679.25,473.67,742.12,1.4,PM*,G2V,-15.252,0.167,0.01,NAME Rigil Kentaurus
HD 118098,* zet Vir,203.67329732803,-0.59581641612,-276.903,44.621,43.7467,0.333,PM*,A2Van,-13.2,2.0,3.38,NAME Heze
HD 127762,* gam Boo,218.0194653313254,38.3082480800211,-114.344,151.788,37.9125,0.255,dS*,A7IV+(n),-32.4,1.0,3.02,NAME Seginus
HD 148478,* alf Sco,247.3519154198264,-26.432002611950832,-12.11,-23.3,5.89,1.0,s*r,M1.5Iab+B2Vn,-3.5,0.8,0.91,NAME Antares
HD 153210,* kap Oph,254.4170729283867,9.375029020125002,-292.638,-9.948,37.1125,0.2041,LP?,K2III,-55.821,0.0008,3.2,
HD 128898,* alf Cir,220.62675271705453,-64.97513301263639,-193.169,-234.982,60.993,0.226,a2*,A7VpSrCrEu,7.099,0.0006,3.19,
HD 146051,* del Oph,243.5864125911492,-3.6943257851008338,-45.34,-144.433,20.4113,0.54,PM*,M0.5III,-18.7841,0.002391,2.75,NAME Yed Prior
HD 148387,* eta Dra,245.997859702,61.51420976085001,-16.394,57.094,35.7163,0.2829,PM*,G8-IIIab,-14.734,0.0003,2.74,
HD 127972,* eta Cen,218.8767673375,-42.15782521722222,-34.73,-32.72,10.67,0.21,Be*,B2Ve,0.0,1.6,2.31,
HD 127973,* eta Cen,218.8767673375,-42.15782521722222,-34.73,-32.72,10.67,0.21,Be*,B2Ve,0.0,1.6,2.31,
HD 135382,* gam TrA,229.7274220385625,-68.67954667374444,-65.816,-31.187,17.1809,0.3327,PM*,A1V,-3.6,2.4,2.89,
HD 137759,* iot Dra,231.23239085120375,58.966065864404726,-8.183,17.296,32.5239,0.131,V*,K2III,-10.912,0.001,3.29,NAME Edasich
HD 141891,* bet TrA,238.785675265,-63.43072653638888,-187.366,-401.191,80.4854,0.2187,PM*,F1V,0.4,0.6,2.85,
HD 143275,* del Sco,240.08335534565887,-22.621706426005783,-10.21,-35.41,6.64,0.89,SB*,B0.3IV,-6.0,0.5,2.32,NAME Dschubba
HD 151680,* eps Sco,252.54087838625,-34.29323159305555,-614.85,-255.98,51.19,0.22,PM*,K1III,-2.5,0.5,2.29,
HD 133216,* sig Lib,226.0175617057,-25.28196957961,-73.484,-42.632,12.5387,0.2984,Mi*,M2.5III,-3.9,0.7,3.21,NAME Brachium
HD 155125,* eta Oph,257.5945287106208,-15.724906641710527,40.13,99.17,36.91,0.8,**,A2IV-V,-2.4,0.3,2.42,NAME Sabik
HD 135742,* bet Lib,229.25172424914248,-9.382914410334685,-98.1,-19.65,17.62,0.16,PM*,B8Vn,-35.6,1.8,2.62,NAME Zubeneschamali
HD 163917,* nu. Oph,269.7566342235884,-9.773633604669444,-7.707,-116.38,22.9031,0.1922,PM*,G9IIIa,13.19,0.04,3.34,
HD 149438,* tau Sco,248.97063688749995,-28.2160170875,-9.89,-22.83,6.88,0.53,*,B0V,-650.47,0.1,2.81,NAME Paikauhale
HD 161892,* G Sco,267.4645037403808,-37.04327637830389,41.717,11.975,24.734,0.1575,*,K2III,24.7,0.6,3.21,
HD 148856,* bet Her,247.5550013403688,21.489610745563056,-98.822,-14.869,22.0023,0.9867,SB*,G7IIIaFe-0.5,-25.91,0.54,2.77,NAME Kornephoros
HD 143018,* pi. Sco,239.71297182416663,-26.114107945,-11.42,-26.83,5.57,0.64,SB*,B1V+B2:V:,-7.4,1.3,2.91,
HD 189319,* gam Sge,299.68928429315497,19.492146130476662,65.005,22.721,11.3375,0.1652,PM*,M0-III,-33.591,0.001,3.47,
HD 177756,* lam Aql,286.56224439258,-4.88256274593,-19.12,-89.427,25.6409,0.4211,PM*,B8.5V,-8.8,0.9,3.43,
HD 146791,* eps Oph,244.58037593556585,-4.692513152746668,83.916,40.763,30.5136,0.1878,PM*,G9.5IIIbFe-0.5,-9.342,0.0009,3.23,NAME Yed Posterior
HD 150997,* eta Her,250.7240206060716,38.92225491964639,35.482,-85.395,29.2595,0.1434,PM*,G7IIIFe-1,8.325,0.001,3.5,
HD 169916,* lam Sgr,276.99266966041665,-25.421698496944444,-46.152,-185.067,42.9198,0.2128,PM*,K1IIIb,-43.2,0.8,2.81,NAME Kaus Borealis
HD 157056,* tet Oph,260.502413945,-24.99954638166667,-7.37,-23.94,7.48,0.17,bC*,OB,-2.1,3.6,3.26,
HD 156164,* del Her,258.7579607430354,24.839206966655976,-21.18,-156.48,43.41,0.15,SB*,A1IVn,-40.0,2.0,3.13,NAME Sarin
HD 156164A,* del Her,258.7579607430354,24.839206966655976,-21.18,-156.48,43.41,0.15,SB*,A1IVn,-40.0,2.0,3.13,NAME Sarin
HD 157244,* bet Ara,261.3249491888263,-55.529881687777774,-8.039,-25.927,4.5601,0.2077,s*r,K0/1Ib,0.08,0.1,2.85,
HD 202109,* zet Cyg,318.23410828951364,30.226898680620003,-3.792,-45.429,21.813,0.1375,SB*,G8+III-IIIaBa0.5,16.72,0.09,3.21,
HD 177724,* zet Aql,286.35253339791666,13.86347728111111,-6.575,-95.909,38.2329,0.3492,PM*,A0IV-Vnn,-25.0,4.0,2.99,
HD 180711,* del Dra,288.1387557204383,67.66153865705445,94.599,92.374,33.3499,0.1567,PM*,G9III,24.818,0.0008,3.07,NAME Altais
HD 182640,* del Aql,291.3745891389376,3.114779474957126,254.54,82.51,64.41,1.0,**,F1IV-V(n),-36.59,7.82,3.36,
HD 186882,* del Cyg,296.243653844308,45.13081463141527,41.87,47.298,21.1474,0.5223,PM*,B9.5IV,-23.6,3.0,2.87,
HD 165135,* gam02 Sgr,271.45203374499994,-30.42408984944445,-48.839,-204.86,32.2697,0.7754,PM*,K0+III,22.0,2.9,2.99,NAME Alnasl
HD 196171,* alf Ind,309.3918007182825,-47.29150144924972,50.922,66.026,32.8989,0.2225,PM*,K0III-IV,-1.3,0.6,3.11,
HD 178524,* pi. Sgr,287.440970525,-21.023613981944443,-1.36,-36.45,6.4,0.43,**,F2II-III,-9.8,0.74,2.88,NAME Albaldah
HD 174638,* bet Lyr,282.51997976764824,33.36266676977778,2.045,-3.685,3.5982,0.1836,SB*,B8.5Ib-II,2.2,0.7,3.42,NAME Sheliak
HD 204867,* bet Aqr,322.8897169834788,-5.571174828063612,19.214,-8.163,5.9728,0.2147,*,G0Ib,6.451,0.0014,2.89,NAME Sadalsuud
HD 216131,* mu. Peg,342.5008044783696,24.601581283481668,145.24,-42.396,28.934,0.1887,PM*,G8+III,13.791,0.0005,3.48,NAME Sadalbari
HD 177716,* tau Sgr,286.73501297132,-27.67041563722,-53.001,-253.304,28.3195,0.3134,PM*,K1.5IIIb,40.59,,3.31,
HD 168723,* eta Ser,275.3275020516146,-2.8988279698980564,-548.903,-700.854,52.4413,0.2036,PM*,K0III-IV,9.38,0.0004,3.25,
HD 207098,* del Cap,326.76018433125,-16.12728708527778,261.7,-296.7,84.27,0.19,SB*,kA5hF0mF2III,-3.4,0.8,2.83,NAME Deneb Algedi
HD 205021,* bet Cep,322.1649868804167,70.56071518916666,12.54,8.39,4.76,0.3,bC*,B0.5IIIs,-8.2,2.0,3.23,NAME Alfirk
HD 209952,* alf Gru,332.05826969609114,-46.96097438191952,126.69,-147.47,32.29,0.21,PM*,B6V,10.9,1.7,1.71,NAME Alnair
HD 186791,* gam Aql,296.5649123092774,10.6132587226325,16.233,-1.354,5.5899,0.3884,*,K3II,-2.693,0.0005,2.72,NAME Tarazed
HD 187642,* alf Aql,297.69582729638694,8.868321196436963,536.23,385.29,194.95,0.57,dS*,A7Vn,-26.6,0.4,0.76,NAME Altair
HD 193496,* bet01 Cap,305.25277749238,-14.78140760208,44.133,0.36,8.3966,0.6348,SB*,G9II:+B8p:Si:,-19.0,0.6,3.08,NAME Dabih
HD 193496,* bet01 Cap,305.25277749238,-14.78140760208,44.133,0.36,8.3966,0.6348,SB*,G9II:+B8p:Si:,-19.0,0.6,3.08,NAME Dabih Major
HD 193495,* bet01 Cap,305.25277749238,-14.78140760208,44.133,0.36,8.3966,0.6348,SB*,G9II:+B8p:Si:,-19.0,0.6,3.08,NAME Dabih
HD 193495,* bet01 Cap,305.25277749238,-14.78140760208,44.133,0.36,8.3966,0.6348,SB*,G9II:+B8p:Si:,-19.0,0.6,3.08,NAME Dabih Major
HD 206778,* eps Peg,326.04648391416663,9.875008653333332,26.92,0.44,4.73,0.17,LP*,K2Ib-II,3.39,0.06,2.39,NAME Enif
HD 214952,* bet Gru,340.66687612556166,-46.884576444824646,135.16,-4.38,18.43,0.42,LP?,M4.5III,-0.3,0.3,2.11,
HD 217906,* bet Peg,345.9435727452067,28.082787124606668,187.65,136.93,16.64,0.15,LP*,M2.5II-III,7.99,0.23,2.42,NAME Scheat
HD 191692,* tet Aql,302.82619454879625,-0.8214635937475,35.582,4.596,14.2687,0.4623,SB*,B9.5III,-28.02,0.52,3.22,
HD 209750,* alf Aqr,331.4459814409479,-0.3198509554241667,18.59,-10.45,4.9451,0.4296,*,G2Ib,6.829,0.0026,2.94,NAME Sadalmelik
HD 218045,* alf Peg,346.190222691426,15.205267147927536,60.4,-41.3,24.46,0.19,PM*,A0IV,-2.7,0.8,2.48,NAME Markab
HD 197345,* alf Cyg,310.35797975307673,45.28033880652757,2.01,1.85,2.31,0.32,sg*,A2Ia,-4.9,0.3,1.25,NAME Deneb
HD 207971,* gam Gru,328.48215125261004,-37.36487221701779,110.445,-17.161,17.808,0.5145,PM*,B8IV-Vs,2.93,2.94,3.01,NAME Aldhanab
HD 215182,* eta Peg,340.75053685395,30.221214713719995,19.957,-18.971,16.6308,0.7047,SB*,G8II+F0V,4.17,0.35,2.95,NAME Matar
HD 216956,* alf PsA,344.4126927211701,-29.62223703338944,328.95,-164.67,129.81,0.47,PM*,A4V,6.5,0.5,1.16,NAME Fomalhaut
HD 210745,* zet Cep,332.71365710650707,58.20126183406695,13.359,5.275,3.2972,0.1456,s*r,K1.5Ib,-17.83,0.12,3.35,
HD 211416,* alf Tuc,334.6254684887237,-60.259629544748336,-77.0,-32.823,17.7324,0.329,SB*,K3III,42.2,0.9,2.82,
HD 216627,* del Aqr,343.66252607413,-15.820819565200004,-34.152,-26.359,23.1451,1.1614,PM*,A3Vp,10.96,1.98,3.28,NAME Skat
HD  95689A,* alf UMa A,165.93195263333334,61.75103334166666,-136.5,-35.2,,,PM*,G9III,,,1.87,
HD 168454,* del Sgr,275.24851205687213,-29.828102262591383,33.212,-27.361,7.8468,0.4791,*,K2.5IIIaCN0.5,-20.4,0.1,2.668,NAME Kaus Media
HD  71129,* eps Car A,125.6284741,-59.509480700000005,-25.3,22.7,,,*,K3:III,11.6,,2.01,
HD 161471,* iot01 Sco,266.89616445956506,-40.12699736232806,0.005,-5.396,1.4177,0.2941,s*y,F2Ia,-27.6,2.0,2.992,
HD  81188,* kap Vel,140.52840670833334,-55.01066713416667,-11.4,11.52,5.7,0.3,SB*,B2IV,21.9,0.9,2.473,NAME Markeb
HD 197051,* bet Pav,311.2395566340129,-66.2032115835414,-42.784,10.173,23.8011,0.184,*,A7III,5.37,0.19,3.408,
HD 136504,* eps Lup,230.6702844025,-44.68961517694444,-22.86,-18.87,6.37,0.7,bC*,B3IV+B3:V,7.9,4.0,3.366,
HD  82668,* N Vel,142.80549230320247,-57.03437645056388,-32.615,5.857,14.6234,0.1858,*,K5III,-13.9,0.6,3.139,
HD 193924,* alf Pav,306.4119043651986,-56.73508972631689,6.9,-86.02,18.24,0.52,SB*,B2IV,2.0,0.9,1.918,NAME Peacock
HD 215789,* eps Gru,342.13874192297,-51.31686481202,107.195,-62.575,25.7902,0.2352,SB*,A2IVn,-0.4,2.1,3.466,
HD  65575,* chi Car,119.19466705582,-52.98234546298,-31.368,23.452,5.6857,0.4961,bC*,B3IV,19.4,2.0,3.431,
HD 108248,* alf01 Cru,186.6495666666667,-63.09909166666667,-35.4,-14.7,,,*,B0.5IV,-11.2,2.0,1.28,
HD 108249,* alf02 Cru,186.65184166666663,-63.09952222222222,-42.5,-7.7,,,*,B1V,-0.6,2.0,1.58,
HD  18622,* tet01 Eri,44.56531815678001,-40.30467763811,-52.273,23.058,19.9047,0.2062,PM*,A3IV-V,11.9,2.0,3.18,
HD  10144,* alf Eri,24.428522833333336,-57.236752805555554,87.0,-38.24,23.39,0.57,Be*,B6Vpe,8.47,2.16,0.46,NAME Achernar
HD 138690,* gam Lup,233.78520144771352,-41.16675686900692,-15.62,-25.43,7.75,0.5,**,B2IV,2.3,5.0,2.765,
HD  79351,* a Car,137.74202206644335,-58.966900555078894,-13.688,13.587,7.9481,0.237,SB*,B2IV-V,23.3,0.9,3.4,
HD  50310,* tau Pup,102.48403810537876,-50.61453869751139,32.618,-69.566,18.7577,0.3475,SB*,K1III,34.4,0.3,2.93,NAME Altaleban
HD  50310,* tau Pup,102.48403810537876,-50.61453869751139,32.618,-69.566,18.7577,0.3475,SB*,K1III,34.4,0.3,2.93,NAME Taleban
HD 158408,* ups Sco,262.6909880116666,-37.295813475277775,-2.37,-30.09,5.66,0.18,*,B2IV,8.0,2.9,2.65,NAME Lesath
HD 158926,* lam Sco,263.40216718438023,-37.10382355111976,-8.53,-30.8,5.71,0.75,bC*,B2IV+DA7.9,-3.0,2.8,1.63,NAME Shaula
HD 151890,* mu.01 Sco,252.96761814529,-38.04739946400001,-10.451,-18.315,1.8732,0.7355,Be*,B1V+B,-7.6,3.9,2.98,
HD 183912,* bet01 Cyg A,292.68035069583334,27.959692797222218,-1.5,-1.4,,,*,K3II,,,3.2,
HD 132200,* kap Cen,224.79035390916664,-42.10419636638889,-17.62,-22.51,8.51,0.54,bC*,B2IV,8.0,0.9,3.11,
HD  85123,* ups Car,146.77550706492468,-65.07200742206864,-11.51,4.71,2.27,0.28,*,A9,13.6,0.5,2.99,
HD 129989,* eps Boo,221.2467398257896,27.07422231967556,-50.818,21.024,13.8267,0.4896,PM*,K0-II-III,-16.6,0.9,2.45,NAME Izar
HD 138690A,* gam Lup A,233.78516162916668,-41.16679195,-28.2,-42.0,,,SB*,,,,3.48,
HD 159532,* tet Sco,264.3297077207907,-42.99782799333082,5.54,-3.12,10.86,1.49,*,F1III,5.18,2.45,1.85,NAME Sargas
HD 159532A,* tet Sco,264.3297077207907,-42.99782799333082,5.54,-3.12,10.86,1.49,*,F1III,5.18,2.45,1.85,NAME Sargas
HD 156014,* alf Her A,258.6618864208333,14.390371047222224,-17.0,47.0,,,LP*,M5Ib-II,-33.1,0.9,3.33,
HD  37742,* zet Ori A,85.18969642916667,-1.9425723222222224,4.0,2.5,,,SB*,O9.2IbvarNwk,18.1,0.9,1.9,
HD 116656,* zet01 UMa,200.98142616882205,54.925359883302775,122.467,-22.682,40.2133,0.4623,SB*,A1.5Vas,-5.6,0.9,2.22,NAME Mizar A
HD   2261,* alf Phe,6.571047515391927,-42.305987194396046,233.05,-356.3,38.5,0.73,SB*,K0.5IIIb,74.6,0.9,2.38,NAME Ankaa
HD 169022,* eps Sgr,276.0429933505963,-34.38461648586744,-39.42,-124.2,22.76,0.24,PM*,B9IVp_lB?,-15.0,3.7,1.81,NAME Kaus Australis
HD 176687,* zet Sgr,285.6530426563352,-29.88006330096877,10.79,21.11,36.98,0.87,**,A2.5Va,24.7,0.7,2.59,NAME Ascella
HD 150798,* alf TrA,252.1662295073803,-69.02771184691984,17.99,-31.58,8.35,0.15,*,K2III_Ba1,-3.0,0.1,1.88,NAME Atria
HD  44402,* zet CMa,95.07830016583333,-30.063366733888888,7.32,4.03,9.0,0.13,Ce*,B2.5V,32.2,0.9,2.99,NAME Furud
HD  50241,* alf Pic,102.04772968012593,-61.94138912117192,-66.07,242.97,33.78,1.78,PM*,A8VnkA6,15.3,1.3,3.23,
HD  12533,* gam01 And,30.97480120653972,42.32972842352701,42.32,-49.3,8.3,1.04,*,K2+IIb,-11.5,0.6,2.1,NAME Almach
HD 122451,* bet Cen,210.9558556228152,-60.3730351615416,-33.27,-23.16,8.32,0.5,bC*,B1III,2.52,2.96,0.58,NAME Agena
HD 122451,* bet Cen,210.9558556228152,-60.3730351615416,-33.27,-23.16,8.32,0.5,bC*,B1III,2.52,2.96,0.58,NAME Hadar
HD  60178,* alf Gem B,113.65041855,31.888491991666665,-206.3,-148.2,,,SB*,kA0hA2:mA1IVs,-1.2,0.9,3.0,NAME Castor B
HD  60179,* alf Gem A,113.64942845,31.88827619166667,-206.3,-148.2,,,SB*,A1.5IV+,-7.3,0.9,1.9,NAME Castor A
HD   9053,* gam Phe,22.09136952027084,-43.31823473917167,-17.72,-206.864,13.3612,0.3555,SB*,M0III,25.8,0.9,3.42,
HD 110379J,* gam Vir,190.41511762006292,-1.4494039524575002,-605.176,85.701,83.1935,0.5074,PM*,F1-F2V,-19.8,0.9,2.74,NAME Porrima
HD 110379,* gam Vir,190.41511762006292,-1.4494039524575002,-605.176,85.701,83.1935,0.5074,PM*,F1-F2V,-19.8,0.9,2.74,NAME Porrima
HD  89484,* gam01 Leo,154.9931435916667,19.841488666666663,310.8,-152.9,,,PM*,K1-IIIFe-1,-36.98,0.46,2.23,
